Date,Category,Description,Currency Type,Amount
2024-07-23,Miscellaneous,Scooby dooby doo,Dollars,3000
2024-07-31,Taxes,Property tax,Dollars,3000
2024-07-30,Housing,adfadf,Dollars,222
2024-07-30,Housing,adfa,Dollars,200
2024-08-06,Housing,adsfasdfasfd,Dollars,20000
2024-08-06,Housing,adsfasdfasfd,Dollars,20000
2024-08-12,Housing,adfasdfasdf,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Utilities,Scooby,Dollars,2000
2024-08-12,Transportation,Scooby,Dollars,2000
2024-08-13,Housing,adad,Dollars,2000
2024-08-20,Miscellaneous,Scooby Dooby Doo,Dollars,20000
